,X,Y,OBJECTID,POSTCODE,TotalProperties,HAProperties,OtherProperties,LATITUDE,LONGITUDE,CONSTITUENCY,WARD,HA Percent,Other Percent,keep_add
0,-4.32404299974649,55.8739349997819,1,G11 7AX,2,0,2,55.873935,-4.324043,Glasgow North West,Victoria Park,0.0,100.0,G11
1,-4.3005780002088,55.8737440001303,2,G11 5HA,22,0,22,55.873744,-4.300578,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
2,-4.31452200039187,55.8679009999621,3,G11 6BQ,44,0,44,55.867901,-4.314522,Glasgow North West,Victoria Park,0.0,100.0,G11
3,-4.32477300039079,55.8786720000338,4,G11 7AZ,22,0,22,55.878672,-4.324773,Glasgow North West,Victoria Park,0.0,100.0,G11
4,-4.3000059997483,55.8735300001805,5,G11 5HB,9,0,9,55.87353,-4.300006,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
5,-4.32057700024139,55.8761449998659,6,G11 7BE,17,0,17,55.876145,-4.320577,Glasgow North West,Victoria Park,0.0,100.0,G11
6,-4.32392599957063,55.8717080000661,7,G11 7BF,68,0,68,55.871708,-4.323926,Glasgow North West,Victoria Park,0.0,100.0,G11
7,-4.30074800008812,55.8731019997666,8,G11 5HD,51,0,51,55.873102,-4.300748,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
8,-4.32100900006152,55.8764250001473,9,G11 7BG,24,0,24,55.876425,-4.321009,Glasgow North West,Victoria Park,0.0,100.0,G11
9,-4.29974100033273,55.8728010002321,10,G11 5HE,27,0,27,55.872801,-4.299741,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
10,-4.32305600008259,55.8764310000161,11,G11 7BH,23,0,23,55.876431,-4.323056,Glasgow North West,Victoria Park,0.0,100.0,G11
11,-4.29936399986586,55.8729389997793,12,G11 5HF,31,0,31,55.872939,-4.299364,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
12,-4.3222829997806,55.8766160002175,13,G11 7BJ,24,0,24,55.876616,-4.322283,Glasgow North West,Victoria Park,0.0,100.0,G11
13,-4.29808799959865,55.873251000081,14,G11 5HG,16,0,16,55.873251,-4.298088,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
14,-4.32506799994358,55.8758539999964,15,G11 7BL,3,0,3,55.875854,-4.325068,Glasgow North West,Victoria Park,0.0,100.0,G11
15,-4.2977529998629,55.8727359998957,16,G11 5HH,50,0,50,55.872736,-4.297753,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
16,-4.32542600014385,55.8762329998263,17,G11 7BP,35,17,18,55.876233,-4.325426,Glasgow North West,Victoria Park,48.57142857142857,51.42857142857142,G11
17,-4.29887799961904,55.872561999871,18,G11 5HJ,42,20,22,55.872562,-4.298878,Glasgow North,Partick East/Kelvindale,47.61904761904761,52.38095238095239,G11
18,-4.29850600007338,55.8721859997499,19,G11 5HL,17,10,7,55.872186,-4.298506,Glasgow North,Partick East/Kelvindale,58.82352941176471,41.17647058823529,G11
19,-4.32151299985168,55.8768369998993,20,G11 7BQ,36,0,36,55.876837,-4.321513,Glasgow North West,Victoria Park,0.0,100.0,G11
20,-4.2979169998944,55.8719870001641,21,G11 5HN,12,3,9,55.871987,-4.297917,Glasgow North,Partick East/Kelvindale,25.0,75.0,G11
21,-4.32356200042089,55.8768799998257,22,G11 7BS,20,0,20,55.87688,-4.323562,Glasgow North West,Victoria Park,0.0,100.0,G11
22,-4.29737100027148,55.8730310000448,23,G11 5HQ,55,5,50,55.873031,-4.297371,Glasgow North,Partick East/Kelvindale,9.090909090909092,90.9090909090909,G11
23,-4.3227470002861,55.8771470000373,24,G11 7BT,20,0,20,55.877147,-4.322747,Glasgow North West,Victoria Park,0.0,100.0,G11
24,-4.3048289997115,55.8718300001081,25,G11 5HR,47,0,47,55.87183,-4.304829,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
25,-4.29725699957033,55.8724479999186,26,G11 5HW,12,0,12,55.872448,-4.297257,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
26,-4.32204699977904,55.8772140001287,27,G11 7BU,10,0,10,55.877214,-4.322047,Glasgow North West,Victoria Park,0.0,100.0,G11
27,-4.32582700000184,55.8757130002365,28,G11 7BW,13,0,13,55.875713,-4.325827,Glasgow North West,Victoria Park,0.0,100.0,G11
28,-4.29689500007041,55.8736329997666,29,G11 5JA,64,0,64,55.873633,-4.296895,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
29,-4.32485899970618,55.8769090000187,30,G11 7BX,30,0,30,55.876909,-4.324859,Glasgow North West,Victoria Park,0.0,100.0,G11
30,-4.29711799965315,55.8733499998418,31,G11 5JB,56,0,56,55.87335,-4.297118,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
31,-4.3265969999308,55.876291999963,32,G11 7BZ,8,0,8,55.876292,-4.326597,Glasgow North West,Victoria Park,0.0,100.0,G11
32,-4.29782200035818,55.873902999758,33,G11 5JD,24,0,24,55.873903,-4.297822,Glasgow North,Partick East/Kelvindale,0.0,100.0,G11
33,-4.32175600042422,55.8883759999592,34,G12 0AU,1,0,1,55.888376,-4.321756,Glasgow North West,Partick East/Kelvindale,0.0,100.0,G12
34,-4.24308199969364,55.8566510000426,35,G1 5AA,21,0,21,55.856651,-4.243082,Glasgow Central,Calton,0.0,100.0,G1
35,-4.32685300002383,55.875235999965,36,G11 7DA,12,0,12,55.875236,-4.326853,Glasgow North West,Victoria Park,0.0,100.0,G11
36,-4.32713900025411,55.8741429997981,37,G11 7DD,14,0,14,55.874143,-4.327139,Glasgow North West,Victoria Park,0.0,100.0,G11
37,-4.32294700030265,55.8821040001968,38,G11 7DE,29,0,29,55.882104,-4.322947,Glasgow North West,Victoria Park,0.0,100.0,G11
38,-4.32411800008956,55.878414999838,39,G11 7DG,1,0,1,55.878415,-4.324118,Glasgow North West,Victoria Park,0.0,100.0,G11
39,-4.32579600003971,55.8821580001532,40,G11 7DH,41,0,41,55.882158,-4.325796,Glasgow North West,Victoria Park,0.0,100.0,G11
40,-4.32559000017538,55.8800500001672,41,G11 7DJ,1,0,1,55.88005,-4.32559,Glasgow North West,Victoria Park,0.0,100.0,G11
41,-4.32654199967921,55.8799239998604,42,G11 7DL,10,0,10,55.879924,-4.326542,Glasgow North West,Victoria Park,0.0,100.0,G11
42,-4.32501199986706,55.8821370001791,43,G11 7DQ,67,0,67,55.882137,-4.325012,Glasgow North West,Victoria Park,0.0,100.0,G11
43,-4.32590700036779,55.8813289999368,44,G11 7DR,18,0,18,55.881329,-4.325907,Glasgow North West,Victoria Park,0.0,100.0,G11
44,-4.32548899989306,55.8815709997881,45,G11 7DS,20,0,20,55.881571,-4.325489,Glasgow North West,Victoria Park,0.0,100.0,G11
45,-4.32444399960449,55.8804040001126,46,G11 7DT,7,0,7,55.880404,-4.324444,Glasgow North West,Victoria Park,0.0,100.0,G11
46,-4.3238519999508,55.8798580001363,47,G11 7DU,7,0,7,55.879858,-4.323852,Glasgow North West,Victoria Park,0.0,100.0,G11
47,-4.32522799977714,55.8809469998789,48,G11 7DX,16,0,16,55.880947,-4.325228,Glasgow North West,Victoria Park,0.0,100.0,G11
48,-4.32517300042388,55.8802910002189,49,G11 7DY,12,0,12,55.880291,-4.325173,Glasgow North West,Victoria Park,0.0,100.0,G11
49,-4.32525100024166,55.8797239998932,50,G11 7DZ,3,0,3,55.879724,-4.325251,Glasgow North West,Victoria Park,0.0,100.0,G11
50,-4.32441400036559,55.8796229997954,51,G11 7EA,8,0,8,55.879623,-4.324414,Glasgow North West,Victoria Park,0.0,100.0,G11
51,-4.32431899993104,55.8801819998581,52,G11 7EB,6,0,6,55.880182,-4.324319,Glasgow North West,Victoria Park,0.0,100.0,G11
52,-4.32213600036583,55.8797740002335,53,G11 7ED,7,0,7,55.879774,-4.322136,Glasgow North West,Victoria Park,0.0,100.0,G11
53,-4.32246000023093,55.8793089998236,54,G11 7EE,15,0,15,55.879309,-4.32246,Glasgow North West,Victoria Park,0.0,100.0,G11
54,-4.32522199992936,55.878978000148,55,G11 7EF,12,0,12,55.878978,-4.325222,Glasgow North West,Victoria Park,0.0,100.0,G11
55,-4.32690499990235,55.8785059999705,56,G11 7EG,18,0,18,55.878506,-4.326905,Glasgow North West,Victoria Park,0.0,100.0,G11
56,-4.32472999983476,55.8779629998234,57,G11 7EJ,12,0,12,55.877963,-4.32473,Glasgow North West,Victoria Park,0.0,100.0,G11
57,-4.3252389996478,55.8784479999329,58,G11 7EN,10,0,10,55.878448,-4.325239,Glasgow North West,Victoria Park,0.0,100.0,G11
58,-4.31598899955651,55.8734489998541,59,G11 7EP,24,0,24,55.873449,-4.315989,Glasgow North West,Victoria Park,0.0,100.0,G11
59,-4.32718100008687,55.8772430000723,60,G11 7EQ,10,0,10,55.877243,-4.327181,Glasgow North West,Victoria Park,0.0,100.0,G11
60,-4.31679500036878,55.8786789998114,61,G11 7ES,10,0,10,55.878679,-4.316795,Glasgow North West,Victoria Park,0.0,100.0,G11
61,-4.31779600027638,55.8793789999218,62,G11 7ET,32,0,32,55.879379,-4.317796,Glasgow North West,Victoria Park,0.0,100.0,G11
62,-4.31837899970925,55.8797730000057,63,G11 7EU,32,0,32,55.879773,-4.318379,Glasgow North West,Victoria Park,0.0,100.0,G11
63,-4.31721600031825,55.879570000073,64,G11 7EX,26,0,26,55.87957,-4.317216,Glasgow North West,Victoria Park,0.0,100.0,G11
64,-4.31653400025286,55.8799419998573,65,G11 7EY,37,0,37,55.879942,-4.316534,Glasgow North West,Victoria Park,0.0,100.0,G11
65,-4.31577799966931,55.8785180000718,66,G11 7EZ,39,0,39,55.878518,-4.315778,Glasgow North West,Victoria Park,0.0,100.0,G11
66,-4.31652000000916,55.8805000001563,67,G11 7HA,37,0,37,55.8805,-4.31652,Glasgow North West,Victoria Park,0.0,100.0,G11
